,IATA,Description,ID
0,01A,"Afognak Lake, AK: Afognak Lake Airport",10001
1,03A,"Granite Mountain, AK: Bear Creek Mining Strip",10003
2,04A,"Lik, AK: Lik Mining Camp",10004
3,05A,"Little Squaw, AK: Little Squaw Airport",10005
4,06A,"Kizhuyak, AK: Kizhuyak Bay",10006
5,07A,"Klawock, AK: Klawock Seaplane Base",10007
6,08A,"Elizabeth Island, AK: Elizabeth Island Airport",10008
7,09A,"Homer, AK: Augustin Island",10009
8,1B1,"Hudson, NY: Columbia County",10010
9,1G4,"Peach Springs, AZ: Grand Canyon West",10011
10,1G4,"Peach Springs, AZ: Grand Canyon West",11398
11,DQR,"Peach Springs, AZ: Grand Canyon West",10011
12,DQR,"Peach Springs, AZ: Grand Canyon West",11398
13,1N7,"Blairstown, NJ: Blairstown Airport",10012
14,1NY,"Penn Yan, NY: Penn Yan Airport",16571
15,2NY,"Port Washington, NY: Sands Point Seaplane Base",16830
16,6B0,"Middlebury, VT: Middlebury State",16429
17,7AK,"Akun, AK: Akun Airport",16567
18,8F3,"Crosbyton, TX: Crosbyton Municipal",10013
19,A01,"Fairbanks/Ft. Wainwright, AK: Blair Lake",10014
20,A02,"Deadmans Bay, AK: Deadmans Bay Airport",10015
21,A03,"Hallo Bay, AK: Hallo Bay Airport",10016
22,A04,"Red Lake, AK: Red Lake Airport",10017
23,A05,"Shell Lake, AK: Shell Lake Airport",10018
24,A06,"Kougarok, AK: Navigator Airstrip",10019
25,A07,"Selawik, AK: Roland Norton Memorial",10020
26,A08,"Pillar Bay, AK: Pillar Bay Airport",10021
27,A09,"Johnstone Point, AK: Johnstone Point Airport",10022
28,A11,"Bell Creek, AK: Bell Creek Airport",10024
29,A12,"Cinnabar, AK: Cinnabar Airport",10025
30,A13,"Mountaintop Mine, AK: Mountaintop Mine Airport",10026
31,A14,"Whitebear, AK: Whitebear Airport",10027
32,A15,"Puviaq, AK: Puviaq Airport",10028
33,A16,"Arley Lake, AK: Arley Lake Airport",10029
34,A17,"Port Vita, AK: Port Vita Airport",10030
35,A18,"Kantishna, AK: Kantishna Airport",10031
36,A1K,"Deadhorse1, AK: Point Thomson Airstrip",16668
37,A1L,"Cullman, AL: Cullman Regional Folsom Field",16811
38,A20,"Alpine, AK: Alpine Airstrip",10033
39,A20,"Alpine, AK: Alpine Airstrip",11388
40,DQH,"Alpine, AK: Alpine Airstrip",10033
41,DQH,"Alpine, AK: Alpine Airstrip",11388
42,A21,"Serpentine, AK: Serpentine Airport",10034
43,A22,"Driftwood Bay, AK: Driftwood Bay Airport",10035
44,A23,"Bradley Lake, AK: Bradley Lake Airport",10036
45,A24,"Chilkat Lake, AK: Chilkat Lake Airport",10037
46,A25,"Nugget Creek, AK: Nugget Creek Airport",10038
47,A26,"Ivotuk, AK: Ivotuk Airstrip",10039
48,A27,"Pogo Mines, AK: Pogo Mines Airport",10040
49,A28,"Ayakulik River, AK: Ayakulik River Airport",10041
50,A29,"Kiluda Bay, AK: Kiluda Bay Airport",10042
51,A2K,"Bartletts, AK: Bartletts Airport",10770
52,BSZ,"Bartletts, AK: Bartletts Airport",10770
53,A2L,"Fort Payne, AL: Isbell Field",16810
54,A30,"Terror Lake, AK: Terror Lake Airport",10043
55,A31,"Selief Bay, AK: Selief Bay Airport",10044
56,A34,"Laura Lake, AK: Laura Lake Airport",10047
57,A35,"Kaktovik, AK: Bullen Point AFS",11828
58,A36,"Deep Bay, AK: Deep Bay Airport",10049
59,A37,"Kako, AK: Kako Airport",10050
60,A38,"Molly Creek, AK: Molly Creek Airport",10051
61,A39,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",10052
62,A3K,"Smith Bay, AK: Smith Bay Airport",16696
63,A40,"Cape Simpson, AK: Cape Simpson Airport",10053
64,A41,"Kogru River, AK: Kogru River Airport",10054
65,A42,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",10055
66,A43,"Kodiak Island, AK: Trident Basin Seaplane Base",10056
67,A45,"Lake Florence, AK: Lake Florence Airport",10058
68,A46,"Lake Hasselborg, AK: Lake Hasselborg Airport",10059
69,A47,"Distin Lake, AK: Distin Lake Airport",10060
70,A48,"Port Hobron, AK: Port Hobron Airport",10061
71,A49,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",10062
72,A4K,"Dune Lake, AK: Dune Lake Airport",16698
73,A50,"Big Bay, AK: Big Bay Airport",10063
74,A51,"Wien Lake, AK: Wien Lake Airport",10064
75,A52,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",10065
76,A53,"Blear Lake, AK: Blear Lake Airport",10066
77,A54,"Cannery Bay, AK: Cannery Bay Airport",10067
78,A56,"Bear Lake, AK: Johnsons Landing",10069
79,A57,"International Seafoods, AK: International Seafoods Airport",10070
80,VZK,"International Seafoods, AK: International Seafoods Airport",10070
81,A58,"Cosna River, AK: Cosna River Airport",10071
82,A59,"Ivatuk, AK: Ivatuk Airport",10072
83,A5K,"Paxson, AK: Paxson Airport",16803
84,A61,"Cape Sarichef, AK: Cape Sarichef Airport",10074
85,A62,"Taylor Mountain Mine, AK: Taylor Mountain",10075
86,A63,"Yukon Charley Rivvers, AK: Coal Creek",10076
87,A65,"Karluk Portage, AK: Karluk Portage Airport",10078
88,A66,"Hope, AK: Hope Airport",10079
89,A67,"Viekoda Bay, AK: Viekoda Bay Airport",10080
90,A69,"Cold Bay, AK: Cathedral Strip",10082
91,A6K,"Fairbanks1, AK: Van Curlers Sandbar",16720
92,A70,"Village Islands, AK: Village Islands Airport",10083
93,A71,"Homer, AK: Bear Cove Farm",10084
94,A72,"Chinitna Bay, AK: Chinitna Bay Airport",10085
95,A73,"McKinley Park, AK: McKinley National Park",10086
96,A74,"Nanwalek, AK: Dog Fish Bay",10087
97,A75,"Malina Bay, AK: Malina Bay Airport",10088
98,A76,"Red Fox Bay, AK: Red Fox Bay Airport",10089
99,A77,"Shearwater, AK: Shearwater Airport",10090
100,A78,"Cape Simpson, AK: Lake",10091
101,A79,"Cape Simpson, AK: Cape Simpson No. 1",10092
102,A7K,"Nakochna, AK: Nakochna Airport",16723
103,A80,"Cape Simpson, AK: Cape Simpson No. 7",10093
104,A81,"Aglaq, AK: Cape Simpson #1",10094
105,A82,"Nikiski, AK: Nikiski Private Airstrip",10095
106,A83,"Petrof Point, AK: Petrof Point Airport",10096
107,A84,"Denali, AK: Denali West Lodge Private",10097
108,A85,"Big River, AK: Big River Airport",10098
109,A87,"Carry Inlet, AK: Carry Inlet Airport",10100
110,A89,"Montague Island, AK: Montague Island Airport",10102
111,A90,"Shannon Pond, AK: Shannon Pond Airport",10103
112,A91,"Omalik Lagoon, AK: Omalik Lagoon Airport",10104
113,A92,"Omolik Lagoon, AK: Omolik Lagoon Airport",10105
114,A93,"Bradley Lake Project, AK: Bradley Lake Project Airport",10106
115,A94,"Barrow, AK: Ice Strip",10107
116,A94,"Barrow, AK: Ice Strip",10108
117,A94,"Barrow, AK: Ice Strip",10109
118,A95,"Barrow, AK: Ice Strip",10107
119,A95,"Barrow, AK: Ice Strip",10108
120,A95,"Barrow, AK: Ice Strip",10109
121,A96,"Barrow, AK: Ice Strip",10107
122,A96,"Barrow, AK: Ice Strip",10108
123,A96,"Barrow, AK: Ice Strip",10109
124,A97,"Akulik, AK: Akulik Air Strip",10110
125,A98,"Deadfall, AK: Deadfall Air Strip",10111
126,A99,"Eagle Creek, AK: Eagle Creek Airport",10112
127,AA1,"Bethel, AK: Ice Kong",10113
128,AA2,"Naknek-1, AK: Icicle Seafoods",16662
129,AA4,"Kachemak Bay, AK: Glacier Split",10116
130,AA5,"Selby Lake, AK: Selby Lake Airport",10117
131,AA7,"Independence Creek, AK: Independence Creek Airport",16472
132,AA8,"Deadhorse, AK: Badami",11381
133,AA9,"Napaimute, AK: Napaimute Pioneer Airfield",16804
134,AAA,"Anaa, French Polynesia: Anaa Airport",10118
135,AAB,"Arrabury, Australia: Arrabury Station",10119
136,AAC,"El Arish, Egypt: El Arish International",10120
137,AAD,"Ad-Dabbah, Sudan: Ad-Dabbah Airport",16385
138,AAE,"Annaba, Algeria: Rabah Bitat",10121
139,AAF,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",10122
140,AAH,"Aachen, Germany: Aachen Merzbrueck",10123
141,AAI,"Arraias, Brazil: Arraias Airport",10124
142,AAL,"Aalborg, Denmark: Aalborg Airport",10125
143,AAM,"Mala Mala, South Africa: Malamala",10126
144,AAN,"Al Ain, United Arab Emirates: Al Ain International",10127
145,AAO,"Anaco, Venezuela: Anaco Airport",10128
146,AAQ,"Anapa, Russia: Vityazevo",10129
147,AAR,"Aarhus, Denmark: Aarhus Airport",10130
148,AAU,"Asau, Samoa: Asau W Sam",10131
149,AAX,"Araxa, Brazil: Araxa Airport",10132
150,ABA,"Abakan, Russia: Abakan Airport",16387
151,ABD,"Abadan, Iran: Abadan Airport",10134
152,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10135
153,ABI,"Abilene, TX: Abilene Regional",10136
154,ABJ,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International",10137
155,ABK,"Kabri Dar, Ethiopia: Kebri Dahar",10138
156,ABL,"Ambler, AK: Ambler River",10139
157,ABQ,"Albuquerque, NM: Albuquerque International Sunport",10140
158,ABR,"Aberdeen, SD: Aberdeen Regional",10141
159,ABS,"Abu Simbel, Egypt: Abu Simbel Airport",10142
160,ABT,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz",10143
161,ABV,"Abuja, Nigeria: Nnamdi Azikiwe International",10144
162,ABX,"Albury, Australia: Albury Airport",10145
163,ABY,"Albany, GA: Southwest Georgia Regional",10146
164,ABZ,"Aberdeen, United Kingdom: Aberdeen Dyce",10147
165,ACA,"Acapulco, Mexico: General Juan N Alvarez International",10148
166,ACB,"Bellaire, MI: Antrim County",10149
167,ACC,"Accra, Ghana: Accra Kotoka International",10150
168,ACE,"Arrecife, Spain: Lanzarote",10151
169,ACH,"Altenrhein, Switzerland: St Gallen Altenrhein",10152
170,ACI,"Alderney, United Kingdom: Alderney Airport",10153
171,ACK,"Nantucket, MA: Nantucket Memorial",10154
172,ACT,"Waco, TX: Waco Regional",10155
173,ACU,"Achutupo, Panama: Achutupo Airport",10156
174,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",10157
175,ACY,"Atlantic City, NJ: Atlantic City International",10158
176,ADA,"Adana, Turkey: Adana International",10159
177,ADB,"Izmir, Turkey: Adnan Menderes",10160
178,ADC,"Andakombe, Papua New Guinea: Andakombe Airport",10161
179,ADD,"Addis Ababa, Ethiopia: Bole International",10162
180,ADE,"Aden, Yemen: Aden International",10163
181,ADJ,"Amman, Jordan: Marka International",10164
182,ADK,"Adak Island, AK: Adak",10165
183,ADL,"Adelaide, Australia: Adelaide International",10166
184,ADM,"Ardmore, OK: Ardmore Municipal",10167
185,ADN,"Andes, Colombia: Andes Airport",10168
186,ADO,"Andamooka, Australia: Andamooka Airport",10169
187,ADQ,"Kodiak, AK: Kodiak Airport",10170
188,ADS,"Dallas, TX: Addison",10171
189,ADT,"Ada, OK: Ada Regional",16426
190,ADW,"Camp Springs, MD: Joint Base Andrews",10172
191,ADW,"Camp Springs, MD: Joint Base Andrews",13748
192,NSF,"Camp Springs, MD: Joint Base Andrews",10172
193,NSF,"Camp Springs, MD: Joint Base Andrews",13748
194,ADX,"St Andrews, United Kingdom: RAF Leuchars",10173
195,ADZ,"San Andres Island, Colombia: Gustavo Rojas Pinilla",10174
196,AE1,"Liwa, United Arab Emirates: Liwa Airbase",16592
197,AE2,"Sweihan, United Arab Emirates: Sweihan Airbase",16772
198,AED,"Aleneva, AK: Aleneva Airport",10176
199,AEG,"Padang Sidempuan, Indonesia: Aek Godang",10177
200,AEH,"Abeche, Chad: Abeche Airport",10178
201,AEO,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport",10180
202,AEP,"Buenos Aires, Argentina: Aeroparque Jorge Newbery",10181
203,AER,"Adler/Sochi, Russia: Adler/Sochi Airport",10182
204,AES,"Aalesund, Norway: Vigra",10183
205,AET,"Allakaket, AK: Allakaket Airport",10184
206,AEX,"Alexandria, LA: Alexandria International",10185
207,AEY,"Akureyri, Iceland: Akureyri Airport",10186
208,AF2,"Lashkar Gah, Afghanistan: Bastion Airfield",16461
209,AF3,"Dwyer, Afghanistan: Dwyer Airport",16557
210,AF4,"Shindand, Afghanistan: Shindand Airport",16559
211,AFA,"San Rafael, Argentina: San Rafael Airport",10188
212,AFF,"Colorado Springs, CO: USAF Academy Airfield",10189
213,AFK,"Nebraska, NE: Nebraska City Municipal",10190
214,AFO,"Afton, WY: Afton Municipal",10191
215,AFP,"Wadesboro, NC: Anson County Jeff Cloud Field",10192
216,AFW,"Dallas/Fort Worth, TX: Fort Worth Alliance",10194
217,AFY,"Afyon, Turkey: Afyon Airport",10195
218,AGA,"Agadir, Morocco: Inezgane",10196
219,AGB,"Augsburg, Germany: Augsburg Airport",10197
220,AGC,"Pittsburgh, PA: Allegheny County",10198
221,AGF,"Agen, France: Agen La Garenne",10199
222,AGG,"Angoram, Papua New Guinea: Angoram Airport",10200
223,AGH,"Angelholm/Helsingborg, Sweden: Angelholm",10201
224,AGK,"Kagua, Papua New Guinea: Kagua Airport",10202
225,AGL,"Wanigela, Papua New Guinea: Wanigela Airport",10203
226,AGN,"Angoon, AK: Angoon Seaplane Base",10204
227,AGP,"Malaga, Spain: Malaga Airport",10205
228,AGQ,"Agrinion, Greece: Agrinion Airport",10206
229,AGR,"Agra, India: Agra Airport",10207
230,AGS,"Augusta, GA: Augusta Regional at Bush Field",10208
231,AGT,"Ciudad del Este, Paraguay: Guarani International",10209
232,AGU,"Aguascalientes, Mexico: Jesus Teran International",10210
233,AGV,"Acarigua, Venezuela: Oswaldo Guevara Mujica",10211
234,AGX,"Agatti Island, India: Agatti Island Airport",10212
235,AHA,"Okinawa, Japan: Naha AB",10213
236,AHB,"Abha, Saudi Arabia: Abha Airport",10214
237,AHD,"Ardmore, OK: Ardmore Downtown Executive",10215
238,AHN,"Athens, GA: Athens/Ben Epps",10216
239,AHO,"Alghero/Sassari, Italy: Alghero",10217
240,AHS,"Ahuas, Honduras: Auas",10218
241,AHT,"Amchitka Island, AK: Amchitka",10219
242,AHU,"Al Hoceima, Morocco: Cherif El Idrissi International",10220
243,AIA,"Alliance, NE: Alliance Municipal",10221
244,AIB,"Anita Bay, AK: Anita Bay Airport",10222
245,AID,"Anderson, IN: Anderson Municipal-Darlington Field",10223
246,AIK,"Aiken, SC: Aiken Municipal",10224
247,AIN,"Wainwright, AK: Wainwright Airport",10225
248,AIT,"Aitutaki, Cook Islands: Aitutaki Airport",10226
249,AIY,"Atlantic City, NJ: Bader Field",10227
250,AIZ,"Lake of the Ozarks, MO: Lee C Fine Memorial",10228
251,AJA,"Ajaccio, France: Ajaccio Napoleon Bonaparte",10229
252,AJF,"Jouf, Saudi Arabia: Al Jouf",10230
253,AJJ,"Akjoujt, Mauritania: Akjoujt Airport",10231
254,AJL,"Aizwal, India: Lengpui",10232
255,AJN,"Anjouan, Comoros: Ouani",10233
256,AJR,"Arvidsjaur, Sweden: Arvidsjaur Airport",10234
257,AJU,"Aracaju, Brazil: Santa Maria",10235
258,AJY,"Agades, Niger: Mano Dayak",10236
259,AK1,"Seward Peninsula, AK: Kelly Creek Airstrip",16489
260,AK2,"Bear Fish Camp, AK: Bear Fish Camp Airport",16490
261,AK3,"Fairbanks, AK: Gold King Creek",16505
262,AK4,"Squaw Lake, AK: Squaw Lake Airport",16508
263,AK5,"Qugruc, AK: Qugruc Airport",16580
264,AK6,"Gold King 2, AK: Gold King 2 Airport",16581
265,AK7,"Rampart, AK: Hunter Creek",16584
266,AK8,"Zips, AK: Zips Airport",16621
267,AK9,"Tolstoi Bay, AK: Tolstoi Bay Airport",16630
268,AKB,"Atka, AK: Atka Airport",10237
269,AKC,"Akron, OH: Akron Fulton International",10238
270,AKF,"Kufrah, Libya: Kufra",10239
271,AKH,"Al Kharj, Saudi Arabia: Prince Sultan AB",15949
272,AKI,"Akiak, AK: Akiak Airport",10241
273,AKJ,"Asahikawa, Japan: Asahikawa Airport",10242
274,AKK,"Akhiok, AK: Akhiok Airport",10243
275,AKL,"Auckland, New Zealand: Auckland International",10244
276,AKN,"King Salmon, AK: King Salmon Airport",10245
277,AKO,"Akron, CO: Colorado Plains Regional",10246
278,AKP,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",10247
279,AKR,"Akure, Nigeria: Akure Airport",10248
280,AKS,"Auki, Solomon Islands: Auki Airport",10249
281,AKT,"Akrotiri, Cyprus: Akrotiri Airport",10250
282,AKX,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport",10251
283,AKY,"Sittwe, Burma: Sittwe Airport",10252
284,AL1,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field",10253
285,AL2,"Alabaster, AL: Shelby County",10254
286,AL3,"Huntsville, AL: Huntsville Executive Airport Tom Sharp Jr",10255
287,AL4,"Andalusia/Opp, AL: South Alabama Regional at Bill Benton Field",16423
288,AL5,"Demopolis, AL: Demopolis Regional",16455
289,AL6,"Fairhope, AL: H. L. Sonny Callahan",16497
290,AL7,"Jasper, AL: Walker County Bevill Field",16669
291,AL8,"Scottsboro, AL: Scottsboro Municipal Word Field",16737
292,AL9,"Sylacauga, AL: Merkel Field Sylacauga Municipal",16790
293,ALA,"Almaty, Kazakhstan: Almaty Airport",10256
294,ALB,"Albany, NY: Albany International",10257
295,ALC,"Alicante, Spain: Alicante Elche",10258
296,ALE,"Alpine, TX: Alpine Casparis Municipal",10259
297,ALF,"Alta, Norway: Alta Airport",10260
298,ALG,"Algiers, Algeria: Houari Boumediene",10261
299,ALH,"Albany, Australia: Albany Airport",10262
300,ALI,"Alice, TX: Alice International",10263
301,ALJ,"Alexander Bay, South Africa: Alexander Bay Airport",10264
302,ALK,"Asela, Ethiopia: Asela Airport",10265
303,ALM,"Alamogordo, NM: Alamogordo White Sands Regional",10266
304,ALN,"Alton, IL: St. Louis Regional",10267
305,ALO,"Waterloo, IA: Waterloo Regional",10268
306,ALP,"Aleppo, Syria: Aleppo International",10269
307,ALQ,"Alegrete, Brazil: Alegrete Airport",10270
308,ALR,"Alexandra, New Zealand: Alexandra Airport",10271
309,ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field",10272
310,ALT,"Alenquer, Brazil: Alenquer Airport",10273
311,ALU,"Alula, Somalia: Alula Airport",10274
312,ALW,"Walla Walla, WA: Walla Walla Regional",10275
313,ALX,"Alexander City, AL: Thomas C. Russell Field",10276
314,ALY,"Alexandria, Egypt: Alexandria International",10277
315,ALZ,"Lazy Bay, AK: Alitak Seaplane Base",10278
316,AMA,"Amarillo, TX: Rick Husband Amarillo International",10279
317,AMD,"Ahmedabad, India: Ahmedabad Airport",10280
318,AMF,"Ama, Papua New Guinea: Ama Airport",10281
319,AMG,"Amboin, Papua New Guinea: Amboin Airport",10282
320,AMH,"Arba Minch, Ethiopia: Arba Minch Airport",10283
321,AMI,"Mataram, Indonesia: Selaparang",10284
322,AMK,"Durango, CO: Animas Air Park",10285
323,AML,"Puerto Armuelles, Panama: Puerto Armuelles Airport",10286
324,AMM,"Amman, Jordan: Queen Alia International",10287
325,AMN,"Alma, MI: Gratiot Community",10288
326,AMO,"Mao, Chad: Mao Airport",10289
327,AMP,"Ampanihy, Madagascar: Ampanihy Airport",10290
328,AMQ,"Ambon, Indonesia: Pattimura",10291
329,AMS,"Amsterdam, Netherlands: Schiphol",10292
330,AMW,"Ames, IA: Ames Municipal",10294
331,AMX,"Ammaroo, Australia: Ammaroo Station",10295
332,AMY,"Ambatomainty, Madagascar: Ambatomainty Airport",10296
333,ANA,"Anaheim, CA: Anaheim-Disneyland HP",10297
334,ANB,"Anniston, AL: Anniston Regional",10298
335,ANC,"Anchorage, AK: Ted Stevens Anchorage International",10299
336,AND,"Anderson, SC: Anderson Regional",10300
337,ANE,"Angers, France: Angers Marce",10301
338,ANF,"Antofagasta, Chile: Andres Sabella International",10302
339,ANG,"Angouleme, France: Angouleme Brie Champniers",10303
340,ANI,"Aniak, AK: Aniak Airport",10304
341,ANK,"Ankara, Turkey: Etimesgut",10305
342,ANM,"Antalaha, Madagascar: Antsirabato",10306
343,ANN,"Annette, AK: Annette Island",10307
344,ANO,"Angoche, Mozambique: Angoche Airport",10308
345,ANP,"Annapolis, MD: Lee",10309
346,ANR,"Antwerp, Belgium: Deurne",10310
347,ANS,"Andahuaylas, Peru: Andahuaylas Airport",10311
348,ANU,"St. Johns, Antigua and Barbuda: V C Bird International",10312
349,ANV,"Anvik, AK: Anvik Airport",10313
350,ANX,"Andeness, Norway: Andoya",10314
351,AOH,"Lima, OH: Lima Allen County",10317
352,AOI,"Ancona, Italy: Ancona Falconara",10318
353,AOJ,"Aomori, Japan: Aomori Airport",10319
354,AOK,"Karpathos, Greece: Karpathos Airport",10320
355,AOL,"Paso de Los Libres, Argentina: Paso de Los Libres Airport",10321
356,AOO,"Altoona, PA: Altoona-Blair County",10322
357,AOR,"Alor Setar, Malaysia: Sultan Abdul Halim",10323
358,AOS,"Amook Bay, AK: Amook Bay Airport",10324
359,APA,"Denver, CO: Centennial",10325
360,APB,"Apolo, Bolivia: Apolo Airport",10326
361,APC,"Napa, CA: Napa County",10327
362,APE,"San Juan Aposento, Peru: San Juan Aposento Airport",10328
363,APF,"Naples, FL: Naples Municipal",10329
364,APG,"Aberdeen, MD: Phillips AAF",10330
365,APH,"Fort A P Hill, VA: A P Hill AAF",16767
366,API,"Villavicencio, Colombia: Gomez Nino Apiay AB",15642
367,APK,"Apataki, French Polynesia: Apataki Airport",10331
368,APL,"Nampula, Mozambique: Nampula Airport",10332
369,APN,"Alpena, MI: Alpena County Regional",10333
370,APO,"Apartado, Colombia: Apartado Airport",10334
371,APR,"April River, Papua New Guinea: April River Airport",10335
372,APT,"Jasper, TN: Marion County Brown Field",10336
373,APV,"Apple Valley, CA: Apple Valley Airport",10337
374,APW,"Apia, Samoa: Faleolo International",10338
375,AQI,"Qaisumah, Saudi Arabia: Hafr Al Batin",10339
376,AQJ,"Aqaba, Jordan: King Hussein International",10340
377,AQP,"Arequipa, Peru: Rodriguez Ballon International",10342
378,AQS,"Saqani, Fiji: Saqani Airport",10343
379,AQY,"Girdwood, AK: Girdwood Airport",10344
380,AR1,"Russellville, AR: Russellville Regional",10345
381,AR2,"Conway, AR: Dennis F Cantrell Field",10346
382,AR3,"Bentonville, AR: Bentonville Municipal Louise M Thaden Field",16738
383,ARA,"New Iberia, LA: Acadiana Regional",10347
384,ARB,"Ann Arbor, MI: Ann Arbor Municipal",10348
385,ARC,"Arctic Village, AK: Arctic Village Airport",10349
386,ARD,"Alor, Indonesia: Arcadia Municipal",10350
387,ARE,"Arecibo, PR: Antonio/Nery/Juarbe Pol",10351
388,ARG,"Walnut Ridge, AR: Walnut Ridge Regional",10352
389,ARH,"Arkhangelsk, Russia: Talagi",10353
390,ARI,"Arica, Chile: Chacalluta",10354
391,ARK,"Arusha, Tanzania: Arusha Airport",10355
392,ARM,"Armidale, Australia: Armidale Airport",10356
393,ARN,"Stockholm, Sweden: Arlanda",10357
394,ARP,"Aragip, Papua New Guinea: Aragip Airport",10358
395,ARQ,"Arauquita, Colombia: Arauquita Airport",10359
396,ARS,"Aragarcas, Brazil: Aragarcas Airport",10360
397,ART,"Watertown, NY: Watertown International",10361
398,ARU,"Aracatuba, Brazil: Aracatuba Airport",10362
399,ARV,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field",10363
400,ARW,"Arad, Romania: Arad International",10364
401,ARX,"Asbury Park, NJ: Asbury Park/Monmouth County",10365
402,ARY,"Ararat, Australia: Ararat Airport",10366
403,ARZ,"N'zeto, Angola: N'zeto Airport",10367
404,ASA,"Assab, Eritrea: Assab International",10368
405,ASB,"Ashgabat, Turkmenistan: Ashgabat Airport",10369
406,ASC,"Ascension, Bolivia: Ascension Airport",10370
407,ASD,"Andros Town, The Bahamas: Fresh Creek",10371
408,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",10372
409,ASF,"Astrakhan , Russia: Narimanova",16674
410,ASG,"Ashburton, New Zealand: Ashburton Airport",10373
411,ASH,"Nashua, NH: Boire Field",10374
412,ASI,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af",10375
413,ASJ,"Amami O Shima, Japan: Amami",10376
414,ASK,"Yamoussoukro, Cote d'Ivoire: Yamoussoukro Airport",10377
415,ASL,"Marshall, TX: Harrison County",10378
416,ASM,"Asmara, Eritrea: Asmara International",10379
417,ASN,"Talladega, AL: Talladega Municipal",10380
418,ASO,"Asosa, Ethiopia: Asosa Hidase",10381
419,ASP,"Alice Springs, Australia: Alice Springs Airport",10382
420,ASQ,"Austin, NV: Austin Airport",10383
421,ASR,"Kayseri, Turkey: Kayseri Airport",10384
422,AST,"Astoria/Seaside, OR: Astoria Regional",10385
423,ASU,"Asuncion, Paraguay: Silvio Pettirossi International",10386
424,ASW,"Aswan, Egypt: Aswan International",10387
425,ASX,"Ashland, WI: John F Kennedy Memorial",10388
426,ASY,"Ashley, ND: Ashley Municipal",10389
427,ATA,"Anta, Peru: Anta Huaraz",10390
428,ATB,"Atbara, Sudan: Atbara Airport",10391
429,ATC,"Arthur's Town, The Bahamas: Arthur's Town Airport",10392
430,ATE,"Antlers, OK: Antlers Municipal",10393
431,ATH,"Athens, Greece: Eleftherios Venizelos International",10394
432,ATI,"Artigas, Uruguay: Artigas International",10395
433,ATK,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",10396
434,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10397
435,ATM,"Altamira, Brazil: Altamira Airport",10398
436,ATN,"Namatanai, Papua New Guinea: Namatanai Airport",10399
437,ATO,"Athens, OH: Ohio University",10400
438,ATP,"Aitape, Papua New Guinea: Aitape Airport",10401
439,ATQ,"Amritsar, India: Amritsar International",10402
440,ATR,"Atar, Mauritania: Atar Airport",10403
441,ATS,"Artesia, NM: Artesia Municipal",10404
442,ATT,"Atmautluak, AK: Atmautluak Airport",10405
443,ATU,"Attu, AK: Casco Cove CGS",10406
444,ATV,"Ati, Chad: Ati Airport",10407
445,ATW,"Appleton, WI: Appleton International",10408
446,ATY,"Watertown, SD: Watertown Regional",10409
447,ATZ,"Assiut, Egypt: Assiut Airport",10410
448,AU1,"Weipa, Australia: Scherger",16465
449,AUA,"Aruba, Aruba: Reina Beatrix International",10411
450,AUC,"Arauca, Colombia: Santiago Perez",10412
451,AUD,"Augustus Downs, Australia: Augustus Downs Airport",10413
452,AUG,"Augusta/Waterville, ME: Augusta State",10414
453,AUH,"Abu Dhabi, United Arab Emirates: Abu Dhabi International",10415
454,AUI,"Aua Island, Papua New Guinea: Aua Island Airport",16386
455,AUK,"Alakanuk, AK: Alakanuk Airport",10416
456,AUM,"Austin/Albert Lea, MN: Austin Municipal",10417
457,AUN,"Auburn, CA: Auburn Municipal",10418
458,AUO,"Auburn, AL: Auburn University Regional",10419
459,AUP,"Aguan, Papua New Guinea: Aguan Papua N.G.",10420
460,AUQ,"Atuona, French Polynesia: Hiva Oa/Atuona",10421
461,AUR,"Aurillac, France: Aurillac Airport",10422
462,AUS,"Austin, TX: Austin - Bergstrom International",10423
463,BSM,"Austin, TX: Austin - Bergstrom International",10423
464,AUW,"Wausau, WI: Wausau Downtown",10424
465,AUX,"Araguaina, Brazil: Araguaina Airport",10425
466,AUY,"Aneityum, Vanuatu: Aneityum Airport",10426
467,AUZ,"Aurora, IL: Aurora Municipal",10427
468,AVB,"Aviano, Italy: Aviano AB",10428
469,AVI,"Ciego de Avila, Cuba: Maximo Gomez",10430
